(Dollars in millions except per share   amounts),,,Acquisition-related,,,Retirement-related,,,Operating,
"For the nine months ended September 30, 2013",,GAAP,,,adjustments,,,adjustments,,,(Non-GAAP),
Gross   profit,,$,"34,189",,,$,289,,,$,474,,,$,"34,953",
Gross   profit margin ,,,47.5,%,,,0.4,pts.,,,0.7,pts.,,,48.5,%
"S,G&A",,$,"17,512",,,$,(294),,,$,(286),,,$,"16,933",
"R,D&E",,,"4,661",,,,0,,,,(43),,,,"4,618",
Other   (income) and expense,,,(214),,,,(8),,,,0,,,,(222),
Total   expense and other (income) ,,,"21,627",,,,(302),,,,(329),,,,"20,997",
Pre-tax   income,,,"12,562",,,,590.5,,,,803,,,,"13,956",
Pre-tax   income margin,,,17.4,%,,,0.8,pts.,,,1.1,pts.,,,19.4,%
Provision   for income taxes*,,$,"2,263",,,$,112,,,$,239,,,$,"2,614",
Effective   tax rate ,,,18.0,%,,,0.0,pts.,,,0.7,pts.,,,18.7,%
Net   income,,$,"10,299",,,$,479,,,$,564,,,$,"11,342",
Net   income margin,,,14.3,%,,,0.7,pts.,,,0.8,pts.,,,15.7,%
Diluted   earnings per share,,$,9.27,,,$,0.43,,,$,0.51,,,$,10.21,
,,,,,,,,,,,,,,,,
* The tax impact on operating (non-GAAP) pre-tax income   is calculated under the same accounting principles applied to the GAAP ,
 pre-tax income which employs an annual effective tax   rate method to the results.,
