Fair Values of Derivative Instruments in   the Consolidated Statement of Financial Position
"As of September 30, 2013 and December 31,   2012"
,,,,,,,,,,,,,,,
(Dollars in millions),FairValueofDerivativeAssets,,FairValueofDerivativeLiabilities
,Balance Sheet,,,,,,,,Balance Sheet,,,,,,
,Classification,,9/30/2013,,12/31/2012,,Classification,,9/30/2013,,12/31/2012
Designated as hedging,,,,,,,,,,,,,,,
 instruments:,,,,,,,,,,,,,,,
Interest rate contracts:,Prepaid   expenses and ,,,,,,,,Other   accrued ,,,,,,
,other   current assets,,$,41,,$,47,,expenses   and liabilities,,$,—,,$,—
,Investments   and sundry ,,,,,,,,,,,,,,
,assets,,,371,,,557,,Other   liabilities,,,—,,,—
Foreign exchange,Prepaid   expenses and ,,,,,,,,Other   accrued ,,,,,,
 contracts:,other   current assets,,,138,,,135,,expenses   and liabilities,,,378,,,267
,Investments   and sundry ,,,,,,,,,,,,,,
,assets,,,—,,,5,,Other   liabilities,,,150,,,78
,,,,,,,,,,,,,,,
Fair value of derivative ,,,,,,,,,Fair value of derivative ,,,,,,
 assets,,,$,550,,$,744,, liabilities,,$,528,,$,345
,,,,,,,,,,,,,,,
Not designated as ,,,,,,,,,,,,,,,
 hedging instruments:,,,,,,,,,,,,,,,
Foreign exchange ,Prepaid   expenses and,,,,,,,,Other   accrued,,,,,,
 contracts:,other   current assets,,$,208,,$,142,,expenses   and liabilities,,$,47,,$,152
,Investments   and sundry ,,,,,,,,,,,,,,
,assets,,,25,,,23,,Other   liabilities,,,—,,,—
Equity contracts:,Prepaid   expenses and,,,,,,,,Other   accrued,,,,,,
,other   current assets,,,9,,,9,,expenses   and liabilities,,,7,,,7
Fair value of derivative,,,,,,,,,Fair value of derivative,,,,,,
 assets,,,$,242,,$,174,, liabilities,,$,53,,$,159
,,,,,,,,,,,,,,,
Total debt designated as,,,,,,,,,,,,,,,
 hedging instruments:,,,,,,,,,,,,,,,
,Short-term   debt,,,N/A,,,N/A,,,,$,"1,219",,$,578
,Long-term   debt,,,N/A,,,N/A,,,,,"2,297",,,"3,035"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total,,,$,793,,$,918,,,,$,"4,097",,$,"4,116"
,,,,,,,,,,,,,,,
N/A-not applicable,,,,,,,,,,,,,,,
