,,"At September 30,",,"At December 31,"
(Dollars in millions),,2013,,2012
Current:,,,,,,
Net   investment in sales-type and direct financing leases,,$,"4,078",,$,"3,862"
Commercial   financing receivables,,,"6,278",,,"7,750"
Client   loan receivables,,,"5,218",,,"5,395"
Installment   payment receivables,,,"1,212",,,"1,031"
Total,,$,"16,786",,$,"18,038"
Noncurrent:,,,,,,
Net   investment in sales-type and direct financing leases,,$,"5,454",,$,"6,107"
Commercial   financing receivables,,,—,,,5
Client   loan receivables,,,"5,555",,,"5,966"
Installment   payment receivables,,,666,,,733
Total,,$,"11,675",,$,"12,812"
