,,,,,,,,,,,,
,,,,,,,,,,,Recorded
,,Total,,,,,Total,,Investment
(Dollars in millions),,Past Due,,,,,Financing,,> 90 Days
"At December 31, 2012:",, > 90 days*,,Current,,Receivables,,and Accruing
Major   markets,,$,8,,$,"7,028",,$,"7,036",,$,5
Growth   markets,,,11,,,"2,127",,,"2,138",,,8
Total   lease receivables,,$,20,,$,"9,154",,$,"9,174",,$,13
,,,,,,,,,,,,
Major   markets,,$,27,,$,"9,639",,$,"9,666",,$,8
Growth   markets,,,36,,,"3,634",,,"3,670",,,31
Total   loan receivables,,$,63,,$,"13,273",,$,"13,336",,$,39
,,,,,,,,,,,,
Total,,$,82,,$,"22,428",,$,"22,510",,$,52
,,,,,,,,,,,,
* Does not include accounts that are fully reserved.
,,,,,,,,,,,,
