   The following table presents each reportable segment’s external revenue as a   percentage of total segment external 
revenue.,,,,,,,,,,,
,,,,,,,,,,,,
,,Three Months Ended,,,Nine Months Ended,
,,"September 30,",,,"September 30,",
,,2013,,,2012,,,2013,,,2012,
Global   Technology Services,40.2,%,,40.3,%,,40.0,%,,40.1,%
Global   Business Services,19.3,,,18.5,,,19.0,,,18.5,
,Total   Global Services,59.5,,,58.8,,,59.0,,,58.6,
Software,24.6,,,23.4,,,24.8,,,23.5,
Systems   and Technology ,13.8,,,15.8,,,14.1,,,15.9,
Global   Financing,2.1,,,1.9,,,2.1,,,2.0,
Total,100.0,%,,100.0,%,,100.0,%,,100.0,%
