"Selling, general and administrative expense"
,,,,,,,,,,
,,,,,,,,,Yr. to Yr.,
(Dollars in millions),,,,,,,,Percent,
Forthethree monthsendedSeptember   30:,,2013,,2012,,Change,
"Selling,   general and administrative expense:",,,,,,,,,
,"Selling,   general and administrative – other",,$,"4,456",,$,"4,588",,(2.9),%
,Advertising   and promotional expense,,,300,,,330,,(9.1),
,Workforce   rebalancing charges ,,,18,,,408,,(95.6),
,Retirement-related   costs,,,241,,,351,,(31.1),
,Amortization   of acquired intangible assets,,,100,,,83,,19.9,
,Stock-based   compensation,,,110,,,133,,(17.3),
,Bad   debt expense,,,30,,,16,,90.8,
,"Total   consolidated selling, general and administrative expense",,$,"5,255",,$,"5,908",,(11.0),%
,Non-operating   adjustments:,,,,,,,,,
,   Amortization of acquired intangibles assets,,,(100),,,(83),,19.9,
,   Acquisition-related charges,,,(11),,,(5),,144.6,
,   Non-operating retirement-related (costs)/income,,,(89),,,(196),,(54.3),
,"Operating   (non-GAAP) selling, general and administrative expense",,$,"5,055",,$,"5,625",,(10.1),%
