Unguaranteed Residual Value,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Estimated Run Out of
,,,At,,,,At,,,"September 30, 2013   Balance"
,,"January 1,",,"September 30,",,,,,,,,2016 and
(Dollars in millions),,2013,,2013,,2013,,2014,,2015,,Beyond
Sales-type   and direct financing ,,,,,,,,,,,,,,,,,,,,
   leases,,$,794,,,$,734,,,$,47,,$,164,,$,207,,$,316
Operating   leases,,,259,,,,208,,,,35,,,76,,,53,,,44
Total   unguaranteed residual,,,,,,,,,,,,,,,,,,,,
   value,,$,"1,053",,,$,942,,,$,82,,$,240,,$,260,,$,360
Related   original amount,,,,,,,,,,,,,,,,,,,,
   financed,,$,"18,744",,,$,"17,528",,,,,,,,,,,,,
Percentage,,,5.6,%,,,5.4,%,,,,,,,,,,,,
